フォトコン名,開始日,終了日,説明,参加方法,主催者,元ポストのURL,注意事項
Flavor Lab+ PHOTO CONTEST,2026-08-07,2026-09-13,思わずアイスを食べたくなる一枚を。VRChatで撮影したアイス関連写真。,詳細は告知リプ欄（投稿方法は公式確認）。,Flavor Lab+（@FlavorLab_VRC）,https://x.com/FlavorLab_VRC/status/2085607098889691303,協賛ショップから豪華景品。受賞者全員にFlavor Lab+招待チケット。詳細ルールは公式確認。
KSKWorksフォトコン（2026.8 KSKWorksワールドフォトコンテスト）,2026-08-11,2026-09-07,ぼくの作ったワールドで過ごした、「二人だけの一瞬」を写真にしてください。きれいな写真でなくても構いません。対象ワールド指定あり。最優秀賞1組に賞品あり。,2人1組で対象ワールドで撮影し、タイトルを付けて#KSKWorksフォトコンをつけてXに投稿。@Stella_XJVをフォロー。1組につき1投稿（4枚まで）。,すてら（@Stella_XJV）,https://x.com/Stella_XJV/status/2091854205757837378（延長告知） / https://x.com/Stella_XJV/status/2086657112479080614（初告知）,18歳以上日本語連絡可能。レタッチは色調補正・トリミングOKだがAI生成・大幅描き直しNG。指定ワールド以外不可。結果発表まで投稿削除しないこと。
エクちゃん夏休みフォトコン,2026-08-01,2026-08-23,あなたの思うエクちゃんの夏休みの一枚。,#エクちゃん夏休みフォトコンを付けてXへ投稿。1人2枚まで。,エクちゃんフォトコン委員会（@Eku3D_Photo）,https://x.com/Eku3D_Photo/status/2083522380886945905,エク素体の改変アバターであること。VRCワールド内撮影。レタッチOK。MMDワールド禁止。NSFW/暴力/性的表現禁止。優秀賞Boothギフト2500円分、審査員賞1000円分x3。
お姉さんしなのフォトコン夏,2026-07-01,2026-08-21,お姉さんと過ごした夏の思い出。確かに存在したはずのお姉さんとの存在しない記憶を思い出させるような作品。,当アカウントをフォロー、#お姉さんしなのフォトコン夏をつけて投稿。引用ツイートで特別賞チャンス。,お姉さんしなの集会（@Onesan_Shinano）,https://x.com/Onesan_Shinano （固定ツイート参照、過去告知）,詳細は画像・リプ欄。結果発表中（2026年8月）。
かぷちやフォトコン,2026-08-17,2026-08-31,テーマ「夏」。,#かぷちやフォトコンのタグを付けたお写真。1人2枚までが選考対象。,かぷちや（@Capettiya / @shiasakura）,https://x.com/Capettiya/status/2089175451734610351,詳細は告知ツリー参照。かぷちや関連アバター推奨と推定。
褐色フォトコン,2026-07-24,2026-08-23,夏が恋した、その肌を。褐色への愛が詰まった作品。賞金総額4.5万円。部門賞多数。,#褐色フォトコンをつけてXに写真を投稿。作品はVRCosmeに登録。,あきなき（@AkiNaki_VRChat）,https://x.com/AkiNaki_VRChat/status/2079400984963620988（告知） / 締切 https://x.com/AkiNaki_VRChat/status/2091540977941102880,複数人写っている場合投稿者本人のアバターは褐色必須。フレーバーテキスト任意。最優秀賞・部門賞重複可。審査員投稿あり。結果発表9/11予定。
第4回VRフォトコン2026（VR Photography 2026）,2026-07-25,2026-08-23,テーマ「情感」一枚の写真に宿る、言葉にできない感情や情景を表現。部門:ポートレイト・アバタースナップ、自然・人工物、Project Lost Worlds、ライジングVRフォトグラファー、VRフォトアート。,@XRGrapherをフォロー、#第4回VRフォトコン2026を記載して写真投稿、Googleフォームで提出。,XR Grapher Association（@XRGrapher）,https://x.com/XRGrapher/status/2078765565481779239（告知） / 終了告知 https://x.com/XRGrapher/status/2091602113029931103,解像度3840x2160以上、PNG/JPG、10MB以下。レタッチは写真補正OKだが画像加工（加筆合成AI）はVRフォトアート部門以外不可。Unity等スクリーンショット不可。授賞式9/19。
第三回TMフォトコン,2026-09-01,2026-09-30,テーマ『ENN』（縁・演・園・遠・焉・円・炎など色んな解釈のENNを見せてください）。,期間内に写真を1枚添付して『#第三回TMフォトコン』と記載して本ポストをリポストでエントリー。,あきら（@akira_VRC0614）,https://x.com/akira_VRC0614/status/2088778561859801259,VRCデフォルトカメラのみ使用可。レタッチ・編集不可。センシティブ表現不可。景品:最優秀賞BOOTH商品3000円分など。
第八回ゆるフォトコン,2026-08-01,2026-08-11,テーマ『VRChat』。みんなの思うVRChatのお写真。,#ゆるフォトコンのタグを付けてポストするだけ。過去写真も可。,ゆるフォト交流会（@YuruPhoto_）/ 駄狐こん（@psk_esk）,https://x.com/YuruPhoto_/status/2083112289226641723,VRChat内撮影のみ。カメラ・影ギミック・レタッチOK（AI大幅加筆・生成不可）。Unity撮影不可。複数応募は最後の投稿参照。入賞作品はワールド掲示。
八咫烏フォトコン2026（第2回）,2026-08-24,2026-09-24,八咫烏公式ワールドで撮影した、かっこいい一枚。八咫烏の世界観を感じられる写真。,#八咫烏フォトコン2026でXに投稿し、投稿用Googleフォームに必須事項を記入して応募。ワールド名を明記。,魔特六課八咫烏　公式（@m_yata_official）,https://x.com/m_yata_official/status/2091722165812871453,公式ワールド使用必須。1投稿につき画像1枚のみ（最大4枚まで投稿可能）。レタッチ・加工可だが過度な変形・合成は審査対象外の可能性。公序良俗違反禁止。版権もの使用注意。
